url_length,contains_ip,num_special_chars,num_subdomains,has_https,suspicious_words,domain_age,redirect_count,is_phishing
36,0,2,1,1,0,25,0,0
34,0,3,2,1,0,28,0,0
33,0,2,1,1,0,27,0,0
21,0,1,1,1,0,16,0,0
22,0,0,1,1,0,19,0,0
27,0,1,1,1,0,19,0,0
31,0,1,1,1,0,15,0,0
45,0,2,1,1,0,14,0,0
26,0,1,1,1,0,24,0,0
25,1,1,0,0,0,0,0,0
49,0,2,3,0,2,1,1,1
34,0,2,1,0,1,1,2,1
47,0,1,2,0,2,1,1,1
33,0,1,1,1,1,2,0,1
53,0,0,3,0,2,0,1,1
40,0,1,1,0,1,1,0,1
52,0,2,4,0,2,1,2,1
37,1,2,0,0,1,0,1,1
54,0,2,4,0,2,1,1,1
46,0,1,2,1,2,0,1,1
44,0,1,3,0,2,1,1,1
45,0,2,3,0,1,1,0,1
48,0,2,3,0,1,2,1,1
46,0,3,2,0,1,1,1,1
58,0,2,3,0,2,0,1,1
57,0,2,3,0,2,0,2,1
50,0,2,2,0,2,1,1,1
52,0,2,3,0,2,0,2,1
53,0,2,3,0,2,0,1,1
63,0,3,4,0,2,0,2,1
40,0,1,1,1,0,27,0,0
27,0,1,1,1,0,25,0,0
29,0,2,1,1,0,18,0,0
33,0,2,2,1,0,20,0,0
44,0,2,1,1,0,21,0,0
41,0,2,1,1,0,17,0,0
31,0,1,1,1,0,14,0,0
21,0,1,1,1,0,26,0,0
25,0,1,1,1,0,29,0,0
37,0,2,1,1,0,31,0,0
36,0,2,3,0,2,0,1,1
33,1,1,0,0,1,0,1,1
52,0,2,3,0,2,0,2,1
46,0,2,2,0,2,0,1,1
33,0,2,1,0,1,1,0,1
33,0,1,2,0,2,1,0,1
45,0,2,3,0,2,0,1,1
51,0,2,3,0,2,0,1,1
52,0,2,3,0,2,0,2,1
35,1,2,0,0,1,0,1,1
